snort1,snort2,snort3,snort4



0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,748,43,0,
1189,4326,903,2213,
805,4063,885,3975,
1003,4042,763,4028,
970,3980,896,4073,
817,4136,1034,3880,
660,3257,588,3448,
1026,2742,836,2764,
812,4400,1153,4275,
1305,4217,793,4489,
4108,1498,1100,3954,
4467,610,717,4515,
3020,2957,1077,894,
4082,4389,1294,834,
4471,4115,930,969,
4015,4318,994,1042,
4044,3736,1091,694,
4844,4539,1023,878,
4161,4629,928,608,
4157,3541,692,581,
2000,3649,3312,837,
1112,4270,4267,956,
605,939,2687,2518,
1038,900,4440,4070,
779,971,3932,3900,
967,764,4329,3985,
722,986,3705,3674,
767,818,2545,2526,
3,0,1877,1963,
731,898,2259,2509,
0,1,1006,1007,
502,479,1201,1329,
248,365,1023,882,
0,0,679,833,
0,0,801,648,
687,947,1434,2831,
20,17,2,3740,
910,718,1111,3855,
0,60,1,3908,
1368,2995,828,1850,
0,1886,0,1957,
874,2639,1017,2443,
0,1899,0,2070,
951,2627,893,2685,
898,2632,907,2093,
0,753,0,444,
0,571,0,437,
0,351,0,405,
980,1893,576,1766,
58,1400,6,1371,
700,2668,925,2493,
2,1884,0,1957,
1126,2225,847,2706,
2,1976,0,1928,
805,1567,513,1700,
256,1063,458,1103,
0,679,0,1022,
1175,1654,525,1619,
1415,1266,358,155,
1741,1409,0,0,
1520,1612,608,591,
989,1258,371,215,
703,683,0,0,
1710,429,1,2,
3876,879,1159,738,
3681,1,0,35,
3147,811,916,518,
3837,28,23,18,
4179,687,542,811,
3581,470,353,307,
1448,382,611,325,
2203,2,0,0,
2792,183,177,179,
2263,527,726,880,
1393,28,25,2,
4002,631,714,889,
4001,57,29,8,
4512,625,964,506,
1827,0,0,0,
1604,14,78,4,
2164,678,641,561,
2305,0,0,0,
1642,27,5,25,
3886,677,697,531,
2205,0,0,0,
4529,736,546,466,
2966,550,808,2285,
1785,1,2,1801,
1806,66,19,1888,
1390,2,2,1984,
1158,232,146,981,
876,0,0,825,
728,0,26,947,
946,212,188,983,
2022,237,272,1685,
2122,0,3,1717,
2362,781,806,2157,
896,0,0,2506,
0,0,0,3043,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
