snort1,snort2,snort3,snort4




0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
2,1,2,148,
2240,2201,2608,2578,
2205,2090,2690,2263,
2070,2222,2841,2646,
2025,2323,2629,2624,
2010,2087,2738,2721,
2247,2206,2631,2645,
2151,2359,2531,2598,
2261,2210,2531,2645,
2557,2126,2439,2307,
2703,2316,2632,1973,
2260,1849,2010,2244,
2372,1991,2105,2270,
63,0,0,0,
2000,1501,1704,2160,
1911,1335,1341,1506,
1974,1302,1305,1732,
1491,890,787,1225,
2092,1752,1697,1860,
1854,1441,1332,1643,
1604,1194,1135,1462,
1652,1210,1218,1263,
1950,1080,920,955,
1905,1059,1096,1110,
2165,1523,1433,1615,
2013,1432,1391,1270,
2201,1109,1134,1283,
2081,1221,1554,1459,
2014,1122,1070,1093,
2204,1544,1446,1455,
2308,1239,1585,1362,
1507,1336,1720,1502,
1489,1165,1488,1219,
1940,1404,1614,1574,
1652,1533,1670,1295,
1601,1449,1926,1495,
1883,1735,2098,1747,
2373,1876,2300,1841,
2231,1976,2364,1993,
2386,1879,1937,1778,
2005,1269,1495,1894,
2203,1792,2077,2416,
1585,1356,1361,1696,
2188,1629,1344,1446,
2260,1969,1591,2270,
2109,1672,1627,1570,
2583,2037,859,2554,
546,342,849,612,
1886,1699,2084,1602,
1741,1460,1920,1778,
2144,1801,2245,1916,
2419,1844,2151,1902,
2376,2132,2324,1976,
2471,2075,2540,2188,
2558,1977,1716,2336,
2456,2091,2707,2425,
2281,2150,2338,2325,
2546,2104,2318,2001,
2400,2359,2627,2016,
2278,2784,2311,2299,
2017,2469,2358,2634,
2114,2431,2363,2386,
2412,2406,2046,2584,
2183,2797,2095,2409,
2217,2347,2453,2550,
2247,2611,2206,2537,
2298,2751,2058,2585,
2306,2545,2126,2360,
2389,2465,1986,3055,
2380,2209,2182,2931,
2221,2063,2712,2828,
2255,2310,2519,2484,
2242,2216,2788,2735,
2111,2251,2449,2642,
2190,2080,2802,2502,
2259,2268,2757,2429,
2247,2293,2575,2394,
2084,2200,2734,2568,
2784,2292,2565,2345,
2970,2085,2879,2141,
3126,1901,2499,2280,
2603,2050,2702,2211,
2615,2068,2787,2386,
2487,2302,2428,2422,
2566,2304,2452,2179,
2432,2224,2974,2089,
2588,2309,2441,2006,
2483,2486,2500,1990,
2268,2231,2962,2274,
2205,2204,2636,2325,
2173,2149,2841,2465,
2052,2237,2481,2574,
2399,2110,2623,2597,
2259,1914,2672,2785,
2439,2094,2466,2569,
2311,1967,2557,2438,
2209,2145,2541,2694,
2262,2270,2521,2961,
15,67,36,166,
1702,1595,1960,1914,
1757,1524,1780,2459,
1098,937,1120,1751,
1361,881,1116,1742,
1464,1262,1264,1875,
1615,1206,1325,2173,
1468,1603,1159,2413,
1695,1833,1750,2297,
705,1251,650,2233,
1268,1227,1472,1919,
970,1282,947,1263,
1648,872,729,787,
1733,1213,1138,1120,
2150,1384,1469,1419,
1680,822,1273,1233,
1983,924,1175,1311,
1528,1194,1378,1158,
2140,1382,1451,1354,
1644,1094,858,1088,
1720,1142,1198,1686,
1639,1025,1286,1553,
1247,1555,1757,1981,
413,329,619,596,
2533,2230,2455,2558,
1214,1381,1801,1772,
1393,1778,1918,2398,
2156,1163,2131,2365,
1597,1764,2129,1571,
1760,956,1935,2258,
1562,1665,2776,1575,
306,384,472,717,
1,0,1,236,
0,0,0,0,
0,0,0,0,
