snort1,snort2,snort3,snort4




0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
snort1,snort2,snort3,snort4




0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
390,1050,270,217,
2040,2952,1805,1888,
3177,2883,1678,1608,
3217,3102,1946,1853,
2855,3006,1880,1911,
2959,2959,1687,1673,
2906,2948,1933,1882,
2899,2982,1984,1733,
3031,3277,2059,1933,
2888,2687,1829,1731,
4217,2183,1982,1959,
3764,1866,1990,1936,
2852,1967,2816,1734,
2870,1909,2781,1713,
2760,1797,2640,1844,
2809,1870,2952,1885,
2878,1790,2962,2071,
2779,1879,2865,1882,
2663,1813,2817,1881,
2709,1923,3039,2001,
1799,1796,2730,1869,
1828,1523,3218,1430,
2628,1826,2585,1776,
2213,1331,2448,1369,
2655,1927,2420,2224,
3327,2479,3104,2466,
2436,1323,2145,1372,
2237,1074,1743,974,
2768,1769,2535,1947,
3599,2136,2629,1888,
3982,2232,2062,1868,
4676,1838,1790,1836,
4172,1862,1799,1771,
4338,1865,1779,1762,
3948,1974,1936,1799,
4616,1702,1699,1807,
2337,576,488,468,
3818,1929,1733,1845,
3741,1670,1763,1813,
3954,1795,2039,1956,
3968,1789,1816,1881,
4654,2005,2096,2223,
4182,1847,1994,2023,
3573,1836,1831,1849,
4214,1889,1711,1865,
4181,1864,1895,1920,
4355,1870,1634,1773,
4162,1835,1720,1837,
3928,2094,1924,1956,
4380,1926,1936,1742,
2318,609,576,543,
58,0,0,0,
3899,3654,3332,3218,
2676,2616,1747,1757,
819,805,17,0,
3190,2641,1722,1915,
2910,2847,1841,1973,
3190,2939,1809,1874,
2878,2772,1805,1841,
3027,3064,2045,1782,
3270,2917,2055,1977,
2848,2185,1874,2616,
2813,1730,1863,2443,
2856,1760,1893,2560,
2712,1761,1790,2285,
3013,1674,1755,2835,
1387,850,860,1231,
3102,1946,1904,3092,
2847,1869,1748,2739,
2731,1954,1914,2722,
1867,1767,2693,2689,
1800,2570,2569,2185,
2162,2704,2303,1952,
2081,2740,2398,1822,
1976,2458,2563,1773,
1895,2429,2635,1652,
1741,2655,2498,1708,
1716,2758,2617,1834,
1880,2759,2553,1902,
1859,2789,2873,1896,
1847,2874,2849,2023,
1953,2116,2762,3232,
457,468,933,1092,
1879,1779,2940,2924,
1092,1156,1758,1847,
1270,1140,1903,1808,
1897,1897,2625,3124,
1865,1850,3133,2954,
1864,1772,2787,2863,
2378,1899,2610,2692,
2717,1749,1780,2605,
3537,1815,1809,2021,
3083,1778,1733,1843,
3800,2043,1878,1945,
3800,2100,1809,2039,
3934,1727,1714,1767,
3790,1743,1941,1880,
3799,1822,1778,1670,
4207,1731,1836,1710,
3730,1900,2470,1877,
2720,1990,2884,2008,
1973,1813,2791,2674,
1905,1935,2810,2793,
414,293,1069,942,
2110,1973,3030,2883,
1976,1978,2880,3025,
519,515,924,927,
1838,1927,3196,3055,
1833,2062,3129,3000,
2017,1997,2744,2918,
2770,1819,1869,2870,
3509,1834,2057,2412,
2103,907,805,785,
3581,1586,1561,1395,
3758,2057,2003,1825,
4074,1986,1987,1968,
3782,1646,1692,1596,
3929,1701,1760,1767,
3570,1768,1856,1993,
3347,1657,2417,1702,
2800,1828,2572,1853,
2435,2962,2708,1875,
2038,2771,2442,1607,
1986,2597,2606,1875,
2027,2697,2712,1875,
1840,2766,2700,1922,
1803,2980,3209,1744,
1638,2865,2835,1695,
1752,2996,2833,1889,
510,1410,660,464,
0,917,0,0,
117,1,1,0,
0,0,0,0,
0,0,0,0,
