snort1,snort2,snort3,snort4





0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
306,325,1687,382,
429,643,4270,921,
404,759,3946,946,
457,713,4103,934,
408,685,4041,947,
425,831,4145,1540,
568,699,2350,2621,
544,656,2690,2644,
624,702,2424,2729,
698,1520,1882,2998,
1758,3160,786,1947,
2847,2836,765,584,
1681,1347,678,727,
2438,2264,774,614,
2828,2548,665,650,
2443,811,629,2780,
440,321,308,2822,
450,321,316,2738,
1066,923,767,6001,
851,788,803,5222,
1311,1053,918,5019,
380,994,367,3008,
382,1398,371,1446,
647,1571,532,1200,
412,1173,320,1301,
562,1728,451,1730,
624,3212,532,2595,
2900,3009,650,820,
2944,1036,621,585,
1938,9,3,1,
2071,355,346,321,
2087,321,292,329,
2190,311,417,230,
1876,366,362,299,
4022,357,342,270,
3774,1092,2857,959,
1137,656,5064,820,
787,594,5195,706,
536,735,4706,852,
895,553,4183,716,
636,638,3338,2562,
305,313,1796,2114,
276,338,1177,1447,
274,412,2350,2453,
529,717,2108,2385,
318,346,1303,1388,
375,311,1202,1203,
614,1764,2085,1657,
596,2909,2560,754,
382,4429,329,324,
816,4695,641,579,
728,5191,693,641,
938,5511,896,669,
1033,4971,711,698,
1112,1062,19,5,
1019,892,345,267,
444,501,0,0,
1129,1217,728,546,
1066,1381,180,184,
2248,2470,503,423,
2911,2686,751,596,
2385,703,2547,305,
927,304,1344,457,
37,0,1532,3,
440,678,2922,897,
726,426,4597,535,
334,651,5255,976,
666,2521,4106,1304,
479,1830,1125,1343,
22,744,14,920,
804,2052,658,1927,
541,2685,483,2571,
749,2345,1375,2570,
870,1237,3438,2800,
312,1560,1481,361,
102,986,1033,240,
168,1031,931,172,
627,2666,2490,771,
131,2280,322,117,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
