snort1,snort2,snort3,snort4



0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1838,1498,2293,1536,
2720,2071,1661,1787,
1944,2498,1739,1626,
1605,2143,2205,1534,
2664,1877,2538,1635,
2079,2390,1842,1760,
1663,2039,1771,2588,
2778,1504,1795,1707,
2308,1746,3071,1669,
3096,1773,1681,2163,
1871,1747,1950,2439,
1882,1798,2961,1644,
2448,1772,2376,1646,
667,73,519,65,
1349,1272,1940,1200,
1480,1681,1481,2217,
1263,2010,1629,1054,
1349,1714,1986,1357,
1805,1735,1304,1392,
2836,1221,1247,1318,
2741,1191,1177,1273,
1794,1320,1541,2560,
1116,1057,2151,1331,
1603,1557,2512,1385,
916,950,1710,856,
1910,1707,2582,2016,
1322,1627,1619,1954,
1914,1844,2370,2255,
2448,1775,1832,2153,
3149,1904,1803,1711,
2006,2919,1645,1651,
1764,2243,1536,1652,
1522,2545,2040,2132,
1830,1688,1945,3159,
2526,1709,1880,2362,
2175,1459,1421,2406,
2586,1727,1593,2116,
2016,1780,2557,1676,
2835,1627,1733,1768,
2045,1713,1370,2723,
2791,1765,1672,1713,
1732,2530,1985,1808,
1707,2223,2739,1840,
1408,2588,1471,1456,
1864,2172,1746,2549,
2581,1790,1813,2189,
2264,2551,1538,1650,
2438,1915,1763,1703,
1985,1758,2689,1861,
1758,3103,1940,1681,
1722,2017,2682,1657,
2546,1697,1675,1627,
1665,1392,2309,1553,
1074,1731,1142,1356,
0,0,0,163,
0,0,0,0,
1670,2571,1514,1664,
1523,2409,1308,815,
1748,2511,1901,1506,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
