snort1,snort2,snort3,snort4



0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,413,0,0,
528,1321,342,1303,
414,1431,390,1506,
439,1256,524,1217,
393,1140,573,1300,
425,1284,539,1143,
452,1127,461,1006,
436,1885,405,1981,
499,1249,503,1257,
1422,515,418,1138,
1064,419,407,1390,
1129,1089,455,632,
1394,1628,397,472,
1307,1394,473,416,
1227,1304,448,382,
1160,972,403,444,
1513,1677,374,493,
1558,1855,456,456,
1489,1303,348,476,
1855,1403,419,451,
1326,1615,770,376,
1396,442,1616,387,
1494,447,1260,440,
1272,424,1413,406,
1331,393,1453,504,
1385,396,1319,474,
1357,370,1228,515,
1235,418,1190,325,
1665,413,1641,559,
510,380,1519,1660,
576,433,1188,2037,
483,412,385,2020,
358,386,294,885,
425,412,441,1858,
491,409,462,1384,
1,1,0,439,
470,380,409,1729,
207,88,117,1906,
290,322,305,1839,
1063,1128,2127,4731,
932,495,1303,1120,
1583,398,1527,420,
995,439,819,400,
1394,425,1354,476,
1280,536,1275,424,
1522,388,1461,496,
1361,495,1530,412,
1101,492,1095,462,
1383,393,1064,475,
1325,411,579,1828,
1319,414,600,1128,
271,201,1247,1164,
439,596,1776,1628,
468,505,1378,1564,
506,433,1268,1419,
435,418,1418,1408,
316,438,1780,1597,
92,28,426,382,
453,470,1211,1306,
517,508,1472,433,
0,0,1050,0,
1,1,2,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
