snort1,snort2,snort3,snort4




0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
27176,11108,18668,27938,
39232,21057,2561,22824,
44783,33917,2869,4061,
19797,15984,20072,29821,
17792,928,44728,22157,
45725,33086,1156,5697,
2355,47291,28922,7106,
17638,19050,18088,30881,
5724,6817,12243,60876,
20284,35566,11818,18011,
18038,31385,20416,15792,
22914,14314,20091,28359,
18898,32337,4836,29573,
21518,2840,56651,4668,
485,14255,48630,22295,
198,13885,53328,18268,
1891,14291,4408,65068,
6403,18666,31005,29574,
13422,18763,21199,32291,
24739,18831,21304,20799,
44830,17070,2394,21363,
16644,30734,19477,18800,
32852,22288,17274,13253,
15398,1792,44233,24246,
38343,14788,17316,15178,
22120,12432,15644,35473,
21772,19626,23812,20456,
38315,14812,27545,4980,
13418,31221,36770,4264,
1981,49214,18679,15772,
31465,6804,27735,19627,
13067,32684,5958,33914,
19687,19866,40196,5916,
689,40222,19015,25757,
30580,34589,17203,3291,
23018,25065,33504,4089,
33793,20227,3969,27688,
33137,8572,21797,22148,
29961,23524,2474,29693,
14298,21150,37670,12543,
2710,14026,51930,16999,
13811,5495,15546,50794,
30910,36170,12732,5837,
56403,4958,23423,875,
19090,20009,31487,15097,
18152,37904,15278,14337,
47359,18131,3428,16712,
19579,21372,32740,11988,
26043,2801,20618,36183,
3577,15165,48018,18922,
11666,30651,40799,2456,
17260,32691,20150,15550,
6349,56373,3110,19838,
20490,21131,33399,10583,
33100,16776,2712,33096,
12455,46995,24947,1278,
31864,7321,24138,22335,
2992,21609,12946,48121,
29517,13868,20240,22021,
50462,28516,5668,972,
20017,4763,35922,24947,
3579,19012,25920,37203,
42078,14423,22081,7010,
66980,13889,1810,2976,
30818,30309,3434,21089,
2857,21726,48505,12563,
2413,15483,42909,24862,
715,14456,48305,22189,
4265,20759,35696,24937,
472,20475,34339,30384,
19503,22491,40134,3537,
18626,27859,34373,4776,
2838,2954,19916,59969,
13934,21635,12974,37102,
7285,32026,27524,18846,
41025,7346,11520,25756,
27629,13967,22570,21470,
15369,20196,14467,35617,
32834,29889,18540,4422,
31509,10916,10773,32425,
31828,18030,21271,14538,
16033,16702,31370,21554,
11058,43632,25155,5758,
29038,14755,20325,21556,
11007,21765,48118,4789,
14064,36440,20943,14203,
2204,31639,45662,6156,
27578,20869,19912,18435,
