snort1,snort2,snort3,snort4




0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
54,48,30,74,
25287,18371,22040,19974,
24038,18169,21745,21714,
31139,19332,14426,20770,
21725,18140,24401,21403,
24519,25425,19468,16275,
18520,20417,29155,17572,
31602,16913,16606,20573,
15023,17794,21926,30889,
24057,14568,24945,22115,
23667,22649,18153,21194,
24385,19865,24384,17016,
25563,21127,24998,13991,
20478,27898,24714,12593,
23662,20736,13044,28242,
16767,25150,22988,20744,
25736,18660,17488,23774,
23309,18938,26136,17303,
22975,20798,21774,20128,
24148,17929,15514,28064,
28503,17683,22545,16934,
25726,14826,19112,26022,
23649,23486,15911,22616,
18223,18074,26693,22663,
22177,21671,19649,22186,
16782,20213,24461,24233,
27742,18114,23801,16000,
16114,23472,20455,25617,
21467,23126,18883,22209,
24136,20473,23375,17707,
19534,29247,22694,14149,
23286,19741,15791,26870,
26146,21132,15946,22455,
22218,20874,19345,23213,
14240,17959,26733,26745,
21404,22103,13658,28523,
22150,14420,19136,29964,
39910,17590,15329,12845,
25017,20928,24403,15303,
20458,26679,23651,14891,
24116,14992,21660,24919,
27691,18962,16013,22981,
16492,25977,12979,30214,
14183,26920,17208,27375,
20488,20834,21236,23114,
14006,23375,26367,21924,
16504,26856,21786,20506,
19136,17013,23075,26461,
22347,25931,15506,21901,
16223,21480,22029,25924,
17002,17952,32031,18675,
22388,19258,21733,22302,
17079,20190,24335,24084,
16148,22897,22507,24137,
20605,25248,17462,22342,
31565,18234,18742,17126,
19572,18242,24856,22999,
15910,31021,18649,20109,
26420,13147,21380,24712,
20480,20931,23990,20264,
28270,23301,17942,16155,
20803,20079,18302,26507,
26553,18881,16796,23434,
39398,14489,16754,15014,
30307,21107,16382,17879,
19223,21680,15748,29038,
24286,20388,23778,17210,
28877,16321,19595,20875,
19236,30278,20072,16084,
17151,25495,21996,21045,
22662,17026,22608,23363,
20850,21971,14269,28600,
29775,22649,17645,15602,
25373,18754,22771,18768,
15673,18528,24330,27156,
20589,15815,24010,25272,
21062,23746,21927,18905,
11367,26042,21939,26326,
14170,21360,34137,16015,
21555,21345,29830,12934,
23939,28376,13528,19815,
17732,20315,20697,26934,
19443,26622,18458,21165,
24638,29252,19481,12293,
28130,25612,17723,14224,
23906,22712,21751,17279,
21853,22275,27249,14308,
26822,20796,26687,13504,
21300,30753,17566,16061,
20922,21100,24275,19349,
20080,22257,23654,19674,
24032,20755,20340,20555,
19294,23256,16148,26986,
18053,19657,21690,26290,
21240,18545,20870,24986,
22418,26637,17803,18822,
25603,20680,25251,14142,
32413,18871,17411,16987,
18721,19282,24442,23215,
16428,26070,19924,23231,
12875,21063,26820,24923,
21231,24882,23072,16502,
28846,16972,17090,22781,
21652,18426,22154,23426,
21860,23051,19080,21677,
18309,21381,26932,19048,
10826,29336,18700,26824,
16156,24716,29053,15724,
19454,21838,21086,23285,
20888,26800,14766,23221,
25090,17723,21344,21497,
18917,19800,22262,24672,
26583,21812,23353,13935,
33542,19003,16954,16187,
23159,25746,21041,15706,
21729,15004,22230,26696,
22939,14319,20982,27441,
15037,19872,24822,25924,
22612,21012,17909,24157,
21620,18984,19953,25105,
30563,16768,19236,19102,
21713,25735,20238,17996,
17383,19445,27605,21220,
17591,22243,22018,23814,
31714,20285,18038,15648,
13907,26295,25872,19614,
17773,25719,19397,22769,
12687,19330,30604,23048,
17128,18251,23981,26313,
25883,21130,20779,17898,
20518,15751,21546,27874,
28802,18723,25211,12914,
20528,16925,31629,16593,
29550,26555,14866,14711,
23245,19725,23746,18970,
21450,16977,18132,29101,
25441,22435,18413,19397,
28362,18785,20185,18311,
17732,24084,19256,18336,
0,0,0,0,
0,0,0,0,
0,0,0,0,
