snort1,snort2,snort3,snort4











0,0,0,
0,0,0,0,
0,0,0,0,
0,2,0,0,
371,480,444,367,
1612,1565,1401,1450,
919,731,775,943,
1379,1272,1148,1429,
1184,727,938,1075,
1363,1080,1358,1095,
740,829,1396,1109,
1025,1075,1070,1401,
953,1052,1195,1029,
1002,1101,797,1331,
932,1038,1228,1320,
932,1165,1306,1073,
835,968,1130,1210,
1078,1022,1080,1025,
1272,982,1111,1183,
1026,1253,1065,861,
802,1213,1469,1011,
1142,1176,1070,846,
1263,953,1106,1400,
1042,1033,1080,1130,
1072,1008,1264,1101,
1399,1331,1373,1422,
1517,1385,1425,1468,
1466,1503,1802,1760,
1887,1303,1687,1361,
1648,1545,1540,1794,
1766,1568,1605,1468,
1607,1897,1272,1605,
1686,1634,1212,1944,
1821,1886,1478,1536,
1631,1499,1869,1468,
1704,1632,1965,1504,
1734,1596,1678,1896,
1653,1430,1682,1739,
1713,1649,1581,1491,
1524,1426,1768,1609,
1450,1799,1677,1550,
1853,1815,1578,1191,
1506,1829,1460,1541,
1402,1528,1611,1669,
1469,1679,1816,1437,
1850,1233,1689,1671,
1635,1728,1448,1500,
1721,1872,1528,1418,
1804,1357,1560,1335,
1612,1871,1554,1614,
1473,1583,1636,1526,
1928,1354,1644,1478,
1712,1540,1874,1542,
1823,1372,1731,1563,
1491,1570,1811,1502,
1647,1399,1713,1555,
1884,1798,1407,1614,
1778,1669,1477,1603,
1247,1698,1765,1842,
1850,1494,1684,1605,
1605,1296,1825,1387,
2047,1734,1256,1698,
1413,1901,1722,1452,
1674,1472,1684,1580,
1478,1535,1696,1636,
1827,1810,1356,1640,
1913,1464,1700,1508,
1522,1737,1385,1823,
1519,1672,1741,1587,
1648,1530,1592,1515,
1463,1618,1735,1633,
1699,1558,1522,1475,
2114,1575,1986,1183,
1604,1583,1731,1422,
1081,1281,1418,947,
1217,1096,1290,769,
891,1321,993,1078,
1402,1301,953,905,
1313,1110,1004,765,
1322,1147,1258,803,
937,1013,1287,1111,
995,1045,1354,1296,
1337,1005,808,1022,
1450,1311,1592,1707,
1526,1734,1515,1381,
1852,1698,1599,1810,
1801,1512,1448,2238,
1582,1549,2081,1644,
1660,1703,1676,1985,
1902,1757,1472,1802,
1670,1636,1970,1752,
1497,1368,1959,1875,
1755,1539,1716,1967,
1581,1982,1756,1352,
1869,1780,2044,1433,
2035,1410,1650,2064,
1771,1546,1524,1719,
1793,1813,1696,1949,
1823,1816,2165,1770,
2010,2031,2226,1933,
2185,2068,1887,2121,
2336,2534,1832,2347,
2176,2521,1987,2012,
1886,1836,1955,1829,
1986,1776,2213,2009,
1931,1585,1827,1895,
2125,2291,2198,2326,
2513,2267,2560,2385,
1987,2167,1736,1650,
1588,2214,1832,2020,
2139,2293,2175,2305,
2019,2008,2276,1815,
2383,1787,1861,1940,
2518,2308,2206,2184,
2364,1740,2122,1956,
2228,1696,2209,2069,
2428,1635,1791,1891,
1945,1728,2239,2046,
2266,2185,1895,1614,
2044,1725,1977,1792,
1911,1896,1739,2051,
2281,1917,2150,1958,
2458,2628,1841,1999,
2179,1728,1792,2063,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
