snort1,snort2,snort3,snort4







0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
3355,1095,1053,877,
4280,1070,1584,1220,
4762,1179,3797,1155,
4010,1160,4934,1254,
4540,1330,4382,1124,
4833,1407,4141,1265,
3805,1234,4005,1373,
4893,1320,4375,1154,
4077,1173,4485,1266,
4811,1021,4540,1352,
1520,1243,6055,1277,
1182,1119,7514,1309,
1306,1133,5666,4648,
1186,1218,3762,4418,
1300,1381,5138,3970,
1169,1434,3238,4710,
1059,1342,5147,4038,
1146,1173,3378,4976,
1315,999,5437,3715,
1212,1381,3850,4860,
1501,1154,4981,3567,
1454,1579,4644,3971,
1001,4414,4674,1215,
1507,4541,4241,1080,
1325,4954,4256,1180,
1456,4362,4164,1262,
1315,4281,4348,1026,
1417,4183,4571,1130,
1423,4355,4545,1126,
1276,4181,4008,1251,
1333,4243,5056,1250,
3255,2485,4087,1138,
4349,1462,3834,1157,
3955,1563,4218,948,
4424,1185,4221,1129,
4369,1089,5162,1368,
4374,1446,4336,977,
4373,1243,4186,1280,
4259,1304,4265,1245,
4461,1145,2987,2791,
4137,1392,1310,4959,
2965,1231,2827,3641,
1499,1180,4739,4002,
1253,1370,4541,4036,
1290,1277,3987,4117,
1313,1333,4319,4148,
1369,1435,4294,3973,
1090,1375,4522,4082,
1249,1261,4329,4250,
1288,1017,6997,2456,
1250,1300,8225,1153,
1141,3929,5697,1402,
1289,4518,4082,1552,
1279,3905,4450,1157,
1186,4109,4134,1278,
1247,4117,4185,1258,
1109,4136,4267,1300,
946,4438,4379,1365,
1158,4383,4343,1266,
1228,4480,1495,4325,
1319,4085,1386,4470,
1444,4390,1199,4039,
1052,4626,1237,4232,
1320,3878,1242,4893,
1080,4416,1317,4216,
1185,4722,1411,4035,
1352,3794,1263,4128,
1311,3867,1250,4838,
2019,4466,1126,3598,
4624,4817,933,1259,
4916,3516,1115,2801,
4006,1252,1257,4492,
4806,1053,1327,4319,
3897,991,1316,4379,
5495,1776,1510,4856,
4819,1093,1347,4334,
4185,1145,1407,4162,
4322,1376,1042,4231,
2634,1396,3218,4235,
938,1308,4677,4438,
1181,1171,4528,5184,
1365,1185,4210,4538,
1109,1369,4407,3737,
1406,1119,3947,4415,
1432,1101,4390,4254,
1075,1367,4420,4230,
