snort1,snort2,snort3,snort4





0,0,0,
41,39,42,0,
0,1,3,2,
5,3,2,1,
158,427,157,63,
1865,5076,1802,814,
2719,6306,2505,1012,
5402,5954,2381,1038,
4770,5463,2200,1050,
4859,4402,2174,1023,
4416,4485,1526,939,
4300,4337,1345,828,
3995,4253,1229,924,
4172,4115,1425,708,
4028,3839,1325,632,
4972,1342,1287,724,
6617,1218,1381,814,
4182,1037,1260,897,
3901,1304,1285,3897,
3643,1139,1344,3623,
3601,1437,1039,3512,
4645,850,1281,3413,
3930,1140,1044,3712,
3606,1098,1088,3539,
3529,1034,1231,3495,
2956,962,1099,3435,
746,1249,1197,5712,
1062,791,973,6701,
555,949,1111,3360,
568,1065,1057,3858,
611,928,941,3538,
795,899,794,3339,
927,790,870,3346,
868,777,916,3372,
939,918,828,3333,
2607,822,790,3389,
4505,4624,913,497,
3556,4419,883,242,
3827,3562,878,445,
3844,3599,892,309,
3719,3961,968,414,
3576,4415,1052,431,
3616,3563,850,379,
4609,3477,733,336,
3793,4503,869,413,
1739,2715,966,432,
723,663,868,410,
505,911,818,394,
515,533,567,507,
2622,505,579,448,
3414,537,607,307,
4056,551,534,352,
3356,747,544,209,
3359,547,416,335,
3527,428,501,278,
3570,529,480,358,
3285,606,569,290,
3501,596,448,245,
3360,459,488,340,
833,1583,516,250,
486,3706,3663,278,
508,4048,3760,308,
528,3111,3744,381,
582,3689,3564,383,
620,3914,3683,212,
491,3218,3724,411,
465,4043,3681,245,
428,4046,3642,298,
547,3536,3563,240,
477,3648,2920,281,
326,6756,483,222,
425,7242,441,290,
443,7531,490,314,
543,6465,707,207,
507,6130,715,229,
455,6231,566,250,
368,7078,576,280,
412,7146,437,273,
537,6897,434,200,
421,3619,851,306,
442,3731,3744,300,
444,4069,3464,213,
329,3391,4115,220,
522,3327,3060,220,
296,3198,4073,260,
370,3432,3126,214,
396,3950,3437,213,
344,3841,3708,136,
331,3161,2907,304,
429,2951,3663,127,
429,634,4104,131,
452,489,2890,165,
410,556,4103,102,
561,428,3407,269,
466,1104,3076,265,
422,3995,3152,118,
513,2908,4172,214,
502,4130,3445,335,
430,3536,3100,282,
382,3230,2672,193,
269,3138,1391,300,
309,3998,3710,243,
205,3443,3711,237,
301,3123,3541,239,
212,2414,2985,161,
259,416,3148,180,
315,547,4090,99,
441,480,3359,145,
584,394,3156,134,
471,377,3195,147,
438,410,2242,226,
288,458,408,234,
280,379,419,478,
231,409,435,168,
343,255,342,323,
321,316,336,134,
320,348,384,84,
423,316,2946,148,
291,388,3418,69,
390,374,3759,190,
410,419,3397,2496,
405,302,3375,3165,
330,532,3453,3694,
411,403,3463,3181,
562,459,2737,2964,
442,470,446,3107,
255,119,124,2148,
21,14,12,2,
80,91,92,8,
5,7,17,0,
15,22,15,1,
53,45,46,6,
9,14,11,2,
