snort1,snort2,snort3,snort4





0,0,0,
10,1,7,0,
1,1,2,6,
0,0,0,0,
0,0,0,0,
1,0,0,0,
0,0,0,0,
0,0,0,0,
1847,2633,2895,1490,
33429,42234,49859,27506,
18307,22868,57552,10446,
9398,32435,22216,11060,
18145,23378,17123,5431,
16481,18580,14890,50187,
11344,16408,11492,44862,
10468,15546,22281,12273,
20031,11508,12996,7030,
14513,12883,15499,10162,
5245,8662,7718,2800,
15261,14612,12899,2473,
11905,6776,11712,1382,
6184,7090,6759,971,
6016,6739,5211,1773,
10423,17142,8729,6689,
7113,8271,12729,6082,
3730,11204,11190,6709,
13596,13703,16169,7602,
9427,7220,10467,2669,
5045,5383,6941,3363,
7453,2310,6337,2666,
7919,4823,8829,2546,
8415,8369,3700,956,
6803,8514,6175,2616,
7585,3586,4299,3382,
6059,2827,6066,3364,
5137,5159,7761,2556,
10390,11701,8561,1756,
6767,6831,8638,3331,
9291,9424,8614,1791,
8429,8839,6974,3438,
2857,5297,5990,910,
2676,7134,10241,2795,
8430,4115,4875,3577,
8704,15126,4051,5224,
6921,12575,5486,4173,
4496,6192,7747,7295,
4470,7672,4400,4250,
4500,8433,11785,5124,
7008,9250,5190,2596,
10136,9984,7558,1841,
8008,15872,6766,5925,
7611,8530,5610,4277,
6121,10159,7796,4918,
4448,7349,7169,5746,
9979,6363,7049,986,
4222,6018,5084,156,
9081,8411,8458,1062,
1903,6650,3414,1897,
5963,2691,8957,3341,
9156,10306,9769,3368,
5516,9228,4541,1751,
5014,7619,6034,2661,
3583,5947,6796,3362,
5242,9312,4425,4226,
5088,4318,7274,1720,
4214,5847,3131,2584,
5826,6586,3969,1680,
6729,5426,8944,1707,
8498,6813,5112,1719,
3542,4383,7503,947,
8456,6802,6060,4273,
8817,7596,5200,3283,
10080,11755,8459,1998,
7039,6330,11753,2543,
1919,5146,11102,237,
3526,6053,4804,1762,
3703,6360,8112,5841,
5905,3543,11061,5495,
3451,7730,6928,2662,
5972,9413,6046,3488,
4619,7574,4414,1728,
11161,5306,6910,1800,
6374,4399,7699,1740,
9889,11193,7608,2673,
6096,6661,9426,2614,
5241,6220,9251,2626,
8363,2727,6105,2600,
1751,2708,4224,1774,
9918,6199,10986,5022,
5116,1967,2829,5015,
7613,5251,2659,6302,
4285,4384,5202,4511,
6876,3213,9157,2515,
7449,4120,5130,142,
6063,6237,3571,2573,
2582,3852,1814,1679,
1920,2787,5833,8,
1789,977,3340,2495,
3330,6856,3429,952,
10289,8496,6979,2466,
5732,5867,4280,1786,
2420,6039,7266,3402,
3144,8249,4563,56,
3467,7596,4979,833,
4221,1761,1838,902,
886,3446,2601,2565,
3508,4155,1034,2449,
1890,6650,4257,2438,
2731,1018,7544,50,
3336,8307,1811,1761,
1707,2572,903,20,
5902,1799,6742,937,
138,5030,122,1691,
5046,2744,4550,4184,
7602,6507,7498,177,
5009,3385,5216,1730,
3417,4364,3384,1665,
5096,4951,645,1672,
7568,4259,3812,1707,
4296,3516,2678,3398,
3361,3495,6608,36,
5095,3371,6660,1667,
4392,2592,4229,866,
3385,2574,974,56,
2519,1756,4189,167,
2510,5104,1678,887,
5082,4244,5128,32,
2638,3473,5351,3235,
929,2754,4250,833,
81,93,83,1,
16,20,12,0,
9,5,4,0,
15,15,14,1,
2,6,4,0,
3,3,6,1,
8,6,6,0,
2,2,4,0,
0,1,1,0,
1,6,7,0,
2,2,4,0,
1,1,4,0,
4,0,2,0,
2,7,5,0,
2,4,3,1,
1,2,3,0,
3,2,2,0,
1,3,2,0,
0,2,1,0,
3,7,1,0,
1,1,2,0,
1,2,1,0,
