snort1,snort2,snort3,snort4



0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
63522,61373,62318,22864,
42367,37099,38297,13085,
40163,38736,38866,12731,
38392,36857,27992,9355,
31312,40428,31105,9406,
25685,33448,32686,10548,
33131,25381,27154,11907,
33890,31894,26686,11185,
27272,35944,38987,8532,
37434,53767,30788,13251,
65564,28143,22400,13060,
14739,17381,25213,8656,
20072,28916,13666,6201,
25405,40922,22638,13194,
25929,24881,27989,11462,
25824,31194,30290,8666,
39299,54602,10802,7129,
21595,11301,13790,7706,
17239,25637,24434,10848,
24242,16924,14818,9806,
13824,11346,13598,6865,
14902,21518,21865,8776,
18654,14037,9884,5341,
8915,14884,21108,6757,
15402,16391,22458,5234,
7308,16277,23059,11065,
13827,8995,15502,10315,
16273,15436,16182,11897,
20078,16939,11588,5241,
16154,16349,14557,4325,
9457,14154,13256,3221,
11937,12379,11362,9758,
15977,21172,24986,4377,
17253,17086,9837,10455,
16012,18277,21117,11389,
21047,15379,17693,4591,
14605,17096,17323,7857,
14326,12842,11149,5411,
15153,21114,15481,3439,
11468,13593,11502,4359,
10440,20112,16231,6009,
15975,11143,10634,4456,
16118,8845,10825,2811,
12920,16972,15330,2005,
10969,13437,9036,2034,
6206,7783,6977,2638,
8626,10340,15233,3457,
7177,11665,18367,6115,
11898,13460,11016,4453,
7854,13602,12825,5825,
9758,10902,11251,8525,
6254,7919,8376,4254,
5387,7564,12032,4368,
5335,6945,10176,1741,
5343,9450,10392,3505,
7760,11878,9563,7617,
6333,14283,17602,3460,
13531,12499,11299,8452,
10474,11025,7870,2786,
7628,8567,8684,3515,
7859,12224,7485,4364,
5184,5367,4113,3534,
8749,4628,8502,5182,
7632,4559,15067,5941,
5575,10411,9850,4954,
10540,9383,28916,5370,
9499,12064,33075,7917,
6106,22627,8855,3418,
3527,33432,41751,5770,
48125,8446,27973,4285,
5287,8533,32577,5670,
7028,25635,11267,3791,
36418,42928,7982,3390,
37635,12742,9681,7584,
9441,8760,15288,6935,
6087,8899,11215,2737,
11879,12424,6960,5123,
5255,7201,9004,5976,
6451,7954,11541,6036,
10890,11145,10126,4332,
11303,12724,10326,2659,
5399,9252,6977,4299,
7662,6922,9989,5239,
10913,11221,11028,4240,
6890,10449,6161,2652,
42755,6277,12788,2575,
11098,7953,10093,4277,
42674,6172,9300,4457,
6362,26952,43980,4371,
42188,26337,11128,5229,
12823,11286,6764,4392,
8595,11677,9555,33985,
9259,13402,13722,14777,
43716,8017,12423,2607,
5249,6580,5350,26676,
6888,14140,9384,18069,
9156,4353,31605,888,
5256,44922,18021,5905,
10025,1988,10056,2687,
8641,5733,8426,5110,
9936,9441,8396,3287,
6168,13614,9767,4062,
8406,5266,6110,5420,
5843,8778,5739,2627,
13343,8906,6591,3424,
11979,6171,8616,203,
5860,6035,5236,2770,
1942,4348,5969,3350,
8465,5274,4401,1866,
4388,34534,7634,202,
7767,28484,8621,2611,
6447,6741,7888,1799,
6062,9202,7454,2596,
4226,3436,5289,49,
4276,9910,6891,1749,
2761,6990,7650,3354,
4355,3531,9240,3311,
5302,4351,8545,6685,
2661,7555,4239,3334,
1837,6825,1159,991,
206,229,293,68,
37,15,23,29,
7,7,8,7,
14,20,15,22,
1,3,7,2,
1,7,4,5,
8,9,8,20,
6,5,5,8,
0,3,1,1,
4,5,4,3,
2,1,7,1,
3,4,3,4,
1,1,5,2,
15,5,11,5,
2,0,0,1,
3,1,6,1,
2,0,0,1,
6,1,4,5,
1,0,2,2,
5,2,2,1,
1,1,0,0,
2,0,2,0,
1,1,2,2,
2,1,1,2,
2,0,0,1,
0,1,3,2,
5,6,4,9,
3,1,2,0,
0,0,0,3,
0,2,0,1,
0,0,0,0,
