snort1,snort2,snort3,snort4





0,0,0,
0,0,0,0,
0,0,0,0,
17972,19992,17154,22882,
35134,40640,37382,46253,
20749,21880,30512,29801,
31629,29900,19737,43322,
39588,33789,24599,35837,
44569,46890,46761,48564,
27671,32216,31557,42216,
24946,23061,28990,31667,
37011,35806,30495,42376,
43080,35833,34873,45731,
30392,30645,35114,43347,
41293,39690,33635,46702,
40054,20582,17810,33900,
49971,38331,44028,49002,
42069,47630,44583,40466,
32700,47290,37662,37211,
18601,34965,21068,22078,
26999,26067,30019,29163,
30001,28810,29523,33732,
30485,32374,41324,33337,
39153,44284,38942,46611,
35662,33725,32542,43650,
27701,19985,23616,31374,
34579,38927,34362,33292,
30474,30115,32638,26224,
44761,37328,42126,35783,
30175,28494,24813,26547,
32419,32134,30836,32212,
57271,45345,53899,47103,
41517,27823,44312,40013,
37040,21548,33944,26030,
40662,29569,33606,34020,
40167,35048,32299,35875,
40362,48951,42341,53089,
20767,21122,22302,32725,
28427,25041,30882,27737,
40131,34186,38450,38441,
28801,36607,25700,26481,
37345,50569,43108,49431,
17064,25904,21784,31740,
35447,31875,31946,35219,
44106,49013,47882,42503,
20258,39724,36180,32698,
53242,58776,56781,51302,
49141,63290,63459,57450,
34556,40974,38563,33410,
24080,30726,32084,30667,
33906,32518,30658,29498,
34119,38704,33863,33656,
36231,37264,33208,34171,
49291,56517,50526,45776,
50782,55207,49094,43588,
31563,34329,35494,26591,
36533,43515,33837,32832,
32751,35085,25434,31728,
51751,48623,51615,51828,
39240,37310,32228,28351,
32386,30181,23746,21219,
40055,26780,31974,33511,
38281,31166,30400,27998,
30671,36861,26788,20828,
44398,52319,39711,42524,
41278,47014,41105,44557,
43692,54768,53605,54290,
47279,48462,49183,51183,
34476,27853,39980,27148,
28711,24032,33568,27805,
23815,24287,22657,31748,
48920,49219,44555,48512,
33643,31637,30744,22219,
37198,39954,35172,44583,
21548,34319,29203,35515,
24709,34569,30990,33038,
60595,40305,53470,57411,
39267,21892,34457,28114,
38966,42865,43262,35176,
32398,36805,29680,31999,
48434,49390,45380,36872,
41579,43175,38711,22668,
39768,33100,36467,23507,
33539,30736,33360,24174,
38193,41961,41361,35840,
24953,33377,32929,28125,
46142,42837,48975,36682,
38149,28265,41990,27193,
45632,39746,46148,39511,
32110,43342,27835,31531,
25600,34326,30585,24898,
19918,25224,25778,25672,
35494,36389,38268,39525,
45672,42002,33616,48145,
40759,37239,31052,38834,
45964,51680,43937,51151,
37388,32218,32554,38627,
41469,35987,30929,39496,
48131,43490,42928,47578,
28766,31915,23780,33798,
33758,26392,17189,26089,
37450,26579,21503,31306,
47551,32711,34118,39800,
27149,32169,29041,28319,
31322,36351,34726,35170,
44825,59010,49102,52308,
33592,42701,31414,32791,
37175,41783,38331,39912,
31995,29506,36510,30937,
45193,50534,39461,49589,
33385,30324,32773,38395,
34025,35626,36058,39806,
26622,37951,37051,30234,
29848,28386,28742,24936,
60629,51932,59938,51068,
46962,40680,40358,33948,
40270,30681,35483,29501,
43978,33377,46290,38341,
37915,25818,36212,24581,
43396,35620,35141,36077,
35017,26244,25497,26294,
42255,44233,39862,48710,
34742,33486,37315,43824,
4099,3696,3846,4580,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
