snort1,snort2,snort3,snort4









0,0,0,
0,0,0,0,
0,0,0,0,
42775,41692,41424,42403,
69786,65367,59711,70451,
84002,79803,76846,84003,
73948,73326,63407,73328,
85787,86203,76542,85821,
72624,72412,70874,71878,
86717,86193,84251,86387,
90780,89814,90233,89001,
84193,83838,83666,74845,
43198,38695,38977,28834,
62947,55088,60323,47923,
75905,69813,73279,61330,
78128,76921,76279,73709,
85392,81426,161130,85504,
88882,87613,88091,89047,
83064,80531,77350,83826,
74782,70868,70523,74488,
89588,90120,89194,90708,
84553,90766,89835,91679,
88278,91251,87822,90758,
88770,90351,89389,89744,
89095,89438,88456,88388,
88610,86260,84690,85210,
86731,83507,76727,82128,
71651,60090,50411,58346,
58027,43406,35474,33238,
75816,71086,63041,62346,
59751,58862,50807,51032,
89863,89719,88713,86684,
85777,79531,83920,78462,
87218,80321,83999,81601,
61936,50611,49683,54940,
80289,75380,65463,79173,
58870,43222,43822,54913,
90401,86617,86218,88425,
79202,75937,73674,62716,
85770,80360,78309,57882,
58227,132102,47060,42666,
73296,64922,66843,60710,
67637,49632,56765,50915,
84681,77644,72734,75820,
91079,88846,77640,88606,
66600,59580,46671,61726,
90981,89704,86620,89868,
82533,76078,72418,80953,
83082,76301,68588,83065,
66887,48869,40624,63651,
80387,71309,69548,77768,
74386,71970,63857,69534,
63059,61907,50938,58248,
90619,90401,87032,89845,
91165,90751,87036,90842,
89382,88825,87914,87247,
90432,90295,89260,85774,
86782,82718,85113,83276,
84633,74398,79466,76647,
91738,82339,85052,91385,
74970,58225,66677,74638,
80991,75642,72186,80719,
80461,79637,67401,83239,
84944,86985,81894,87907,
80843,90893,89063,90860,
48027,67431,60559,65863,
65226,73009,69078,72903,
87724,90514,87560,90337,
87966,91698,89066,89753,
84898,87991,81885,85127,
69294,72004,57972,69327,
68887,70541,51213,66576,
69323,67168,48869,62492,
74481,73850,58305,64414,
83651,85169,71451,81349,
75197,78933,71173,77756,
90204,89900,89756,89543,
89221,87472,82697,88489,
71222,69503,50348,71854,
81164,79769,66515,82671,
75906,63029,64404,76275,
90468,87879,80639,89961,
90169,88915,83480,86808,
86655,84997,77837,74194,
71386,67798,62283,61633,
87926,79403,83946,139019,
79131,74473,62843,69887,
90785,89185,69890,88444,
81920,79086,65074,79680,
90730,90297,85235,90202,
85396,84101,75065,85693,
82641,77861,60513,84214,
75159,55900,54615,76011,
84008,82847,72512,84204,
85376,86909,75427,87307,
79459,81014,74727,81551,
87658,89995,84449,91096,
79978,86484,80109,86552,
81626,83061,77344,82140,
88307,88268,83955,87757,
89978,88170,87282,86824,
70264,65923,61299,65672,
90726,84102,87031,90230,
89810,84278,84350,89313,
84072,81231,72844,85135,
75844,73854,69124,77828,
85168,88610,84428,88291,
70603,85926,81335,84467,
57492,70553,63572,70097,
87210,90749,83473,90839,
78992,83098,76704,80835,
81094,84110,74250,78891,
90581,90777,81841,89434,
84775,84402,60824,82040,
74286,72417,55839,67055,
69387,70133,48643,58880,
79322,80425,69196,76772,
79352,80379,75308,79355,
83617,81703,81154,81229,
83009,80238,77755,83107,
66826,63248,52993,68344,
72520,72461,61303,75480,
74306,62001,59956,75134,
17463,13414,12804,17436,
4,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
