snort1,snort2,snort3,snort4

0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
55893,56382,0,55908,
93120,95776,0,96288,
93280,95680,0,96224,
92576,96576,0,96288,
99040,102016,0,103584,
91904,94656,0,95552,
90528,94720,0,95456,
89120,94880,0,94816,
91104,95104,0,94592,
92064,94784,0,95200,
90816,94144,0,95616,
91252,94592,11028,93522,
85695,86637,84163,85938,
85886,87323,83964,85243,
85658,87266,84015,85486,
86035,87057,83803,85536,
86580,87009,84016,84823,
85616,87204,84398,85196,
85639,87413,83900,85485,
85567,87220,84663,84947,
85721,87273,84162,85229,
85646,87181,84167,85423,
85847,87394,84116,85071,
86011,87255,83687,85459,
86019,87454,83718,85251,
85976,87311,84124,84992,
85950,87004,84083,85382,
39819,40120,38289,39323,
0,0,0,0,
0,0,0,0,
