snort1,snort2,snort3,snort4














0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
52975,24887,60809,24537,
62292,62900,96352,20180,
35469,93055,96640,5948,
36432,88252,96480,1429,
78557,53998,96576,298,
88421,40186,94015,5892,
58014,72917,43146,97056,
51379,95549,52515,96992,
25891,96451,74677,2816,
47882,96352,42831,48,
86580,46021,18937,50373,
96544,23810,29458,83751,
46718,66840,67420,47139,
29862,96416,96128,302,
59753,65192,95347,1754,
96864,16641,96800,22947,
61031,48774,96864,33818,
6922,96864,96736,14101,
13812,96960,96864,2622,
44163,96800,96761,755,
48104,96896,96071,219,
90640,96992,47949,2187,
96640,96864,39506,3528,
96832,51316,76601,2638,
97024,47482,89824,1280,
90267,79873,65041,957,
96512,96672,27983,426,
78827,74745,45246,36447,
27546,33862,90719,96704,
55467,26340,89284,71257,
96512,24769,96672,1112,
84343,42433,96608,8166,
85602,96416,70280,7624,
84598,96448,65965,1792,
57466,96576,28740,60329,
54719,96512,12022,91826,
90532,90358,13792,46511,
104160,103744,21574,14877,
96704,88547,24286,27896,
96704,92657,19326,30813,
96736,96448,8214,22300,
96384,94048,25224,8075,
96480,72450,61632,8896,
96512,18725,96768,8022,
83197,16839,96120,22742,
29118,20854,96265,97120,
18808,28560,96480,90670,
57962,87847,96544,869,
54427,95423,96736,2087,
89596,96608,34890,3355,
96544,96704,55744,1338,
35645,86415,50447,89443,
12401,96480,47846,96864,
48637,96352,59332,34280,
93632,96608,50827,3381,
96640,87059,32178,13340,
96608,94316,30449,9675,
96576,68039,54322,868,
96704,21273,96608,1271,
93984,15861,97319,17146,
73007,12361,96672,96992,
53716,12522,96480,90387,
53208,12394,96544,8104,
44283,17499,96352,11624,
19987,85185,71187,50790,
18563,96576,44547,70330,
64873,65359,63132,38243,
96896,30296,96544,162,
72545,43732,90863,13384,
24032,96512,82329,81551,
29098,76337,78212,69579,
96672,17286,96896,4023,
96704,25515,96800,1610,
53682,85649,96768,698,
40378,96288,96672,261,
32270,96192,89014,200,
19481,96448,96512,46,
57342,57950,96480,50,
97024,16253,96832,1704,
84389,44310,86689,12643,
80459,96288,17525,45538,
87541,94990,7602,43871,
64131,88372,96800,3924,
55586,94299,96768,2394,
86736,93994,64085,2213,
96544,94580,52083,1986,
193024,80060,32215,6026,
96416,58207,26390,8998,
81489,53784,49570,11203,
15672,23145,96512,10580,
18791,21584,96480,7819,
11952,96576,96768,3821,
29583,96640,96640,1299,
83884,70213,57074,1377,
96672,86328,34064,9127,
96768,68709,60636,14154,
96672,19859,96800,11403,
77690,26727,96864,8428,
23242,94195,96736,6482,
25746,96512,90013,348,
96480,69181,18592,62602,
96832,48872,31213,84064,
65091,33036,85596,63074,
80250,53121,96768,36584,
54613,86328,38043,12329,
32132,96288,20984,338,
51723,85867,64664,475,
62925,79508,96832,1091,
58480,93349,76265,1083,
89747,96416,7799,552,
82511,96448,7260,3246,
26473,55721,96672,4460,
17899,60718,96672,1693,
21014,91187,96896,427,
16529,90671,96544,1743,
12435,50013,96384,2762,
20197,21921,96128,1678,
53402,16065,96512,43,
96480,6625,96544,1954,
86713,11862,96608,17358,
8654,22179,96640,96736,
8399,29796,96640,96768,
35837,96416,86527,13665,
54493,96416,96576,440,
64064,96416,95362,423,
67251,96288,90773,247,
72688,96384,84041,344,
93819,96576,65177,1288,
88470,81251,66879,4427,
22958,21517,96416,15846,
5755,5155,19684,3306,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
