snort1,snort2,snort3,snort4

















0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
3125,7004,18495,37270,
7956,18281,47821,94990,
67213,15407,11956,59488,
96576,5242,17722,2218,
96672,6492,58663,1144,
96640,7311,48767,254,
92732,7470,18072,14615,
67308,7665,1583,96160,
69244,7259,1828,93369,
96448,1463,2776,20394,
96416,1701,2425,40886,
26906,1010,88427,53201,
21368,871,96448,50057,
9099,5719,96267,53090,
3023,7438,96320,45976,
853,67736,66959,19285,
2708,97120,47985,24883,
52341,48110,53979,12572,
52993,7298,96160,349,
7209,5435,64724,65622,
2448,1127,21498,96256,
3410,2034,44315,86710,
6910,2835,96416,68888,
5656,1820,79726,74533,
599,765,7869,96352,
28322,1499,14012,91191,
55749,17077,96128,6349,
55683,17119,96160,6184,
94603,5953,18922,9415,
96416,4722,16358,23188,
96640,3957,9170,49312,
96704,2590,6417,47275,
96544,7318,12365,3827,
96393,9525,16468,1479,
96576,7070,14258,1520,
96288,4613,6855,1632,
96320,4231,41657,4947,
96512,373,50051,27484,
85020,30745,32171,26564,
15718,49036,96320,2765,
34109,25839,96320,2760,
48496,3338,96216,19706,
38916,13905,96160,24933,
12267,52375,31644,76490,
20059,50787,6510,96864,
10488,54145,61147,40019,
361,55747,96032,2443,
144,55308,95968,4229,
74,54697,96096,7565,
72,54863,96096,10814,
60,53468,95936,18726,
1194,64604,73531,17867,
6362,96544,3207,19522,
6095,84769,33636,29358,
755,5640,50897,96544,
993,5858,48872,96416,
17967,96091,49360,4723,
31108,96608,40284,1378,
63162,36403,3078,71243,
54204,15653,5775,96160,
8162,65323,54074,39077,
5588,96960,57085,1405,
6863,75913,52724,7327,
7572,49748,96032,18772,
4882,52795,95936,20059,
126,56755,96160,18562,
1576,18433,74410,63325,
7446,620,15438,96416,
7694,1123,58153,83951,
1546,1586,96096,733,
1053,1602,95808,29811,
49,1764,95584,67519,
22959,1636,95872,45576,
54968,16376,5307,94679,
38782,19057,2305,96544,
84064,7693,16704,57478,
96288,3817,32888,39665,
96448,5323,56624,6982,
96448,11202,43760,8573,
48451,52854,60010,4612,
18030,49608,96256,3564,
10384,49890,76049,6175,
551,96864,55466,7738,
7118,96896,11015,48688,
24391,97280,2693,49369,
22531,71905,52100,14651,
8131,6241,96384,16019,
6734,37324,96192,16449,
1021,56963,96352,2922,
1164,31166,96081,5107,
2699,2221,52034,96128,
3340,1995,50243,96384,
13731,3966,91669,19676,
15712,4002,96128,10029,
16632,3192,59988,79104,
17857,3135,41603,96480,
10979,9884,65183,71134,
3759,15225,96352,59275,
56009,11414,44035,63118,
96736,6488,2548,65207,
77543,13269,2216,55163,
50735,24351,3987,96384,
12959,47614,43393,69011,
10728,96736,49454,16249,
11184,96800,15912,15569,
12327,96736,828,14897,
12706,89311,637,45733,
14574,538,14812,96256,
14104,22592,15698,96480,
4958,94550,19160,5185,
4131,96864,35369,497,
2747,97056,59175,12599,
1606,96928,55643,16387,
5154,29639,85180,18511,
6586,1907,96256,20958,
2862,60298,77570,11451,
155,96736,69445,1158,
3468,96800,20723,49536,
7243,96992,17911,49971,
42393,80311,18702,8215,
96512,51647,21585,5214,
96448,18092,17487,4271,
96352,19094,1440,111,
84194,48442,15467,1329,
2475,51675,96160,22350,
1671,51811,93824,24734,
2552,58558,14401,96064,
3126,39477,34709,95744,
1901,9910,93298,22542,
1304,10134,96256,30583,
342,10249,31658,89808,
269,8663,13673,81814,
0,0,0,0,
0,0,0,0,
