snort1,snort2,snort3,snort4





0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
522,28258,16319,414,
1713,96160,54943,1444,
1762,96352,57167,1461,
1888,96224,60114,1547,
1870,96352,60665,1570,
1877,96480,60124,1552,
1867,96320,60415,1558,
1920,98528,61669,1608,
1897,96256,61083,1551,
1880,96384,60418,1576,
1874,96224,60743,1562,
1864,96224,59831,1550,
2039,103904,65576,1686,
1863,96160,60165,1558,
1899,96064,60890,1559,
1855,96192,59956,1568,
1894,96192,60691,1553,
1848,96288,59969,1562,
2006,96064,64514,1656,
2012,96256,65683,1722,
2092,96384,65721,1692,
1657,96320,55081,1426,
1796,96288,56484,1443,
1840,96160,59787,1552,
1884,96338,60107,1540,
1799,96256,58707,1519,
1746,96160,55372,1412,
1735,96032,56313,1469,
1885,96352,60559,1555,
1870,96256,60232,1568,
1896,96416,60846,1550,
1847,96128,59902,1568,
1869,96096,59892,1526,
1852,96096,59743,1562,
1887,96160,60482,1546,
1847,96064,59955,1567,
1881,95968,60105,1533,
1840,95904,59680,1558,
1879,95872,60106,1533,
1845,96032,59708,1562,
1895,96064,60923,1561,
1869,96224,60294,1564,
1852,96192,59358,1519,
1696,96192,54843,1420,
1757,96256,56527,1453,
1864,96064,59699,1558,
1884,96128,60980,1565,
1857,96064,59648,1547,
1873,95968,60545,1557,
1872,96160,60259,1561,
1874,96448,60311,1552,
1848,96160,59463,1541,
1869,96480,60263,1550,
1854,96352,59605,1546,
1869,95968,60321,1550,
1860,95776,59821,1551,
1883,96064,60573,1557,
1862,96000,59979,1551,
1895,96192,61023,1573,
1851,96256,59685,1543,
1885,96352,60620,1561,
1863,96480,60064,1554,
1890,96416,60722,1562,
1844,96192,59553,1542,
1874,96224,60232,1553,
1855,96192,59903,1549,
1877,96128,60223,1550,
1844,96032,59551,1542,
1874,96160,60255,1553,
1868,96160,60172,1561,
1885,96224,60654,1561,
1842,96192,59458,1540,
1883,96160,60499,1557,
1845,96320,59603,1546,
1892,96128,60627,1562,
1865,96224,60235,1559,
1877,96224,60358,1553,
1875,96032,60417,1568,
1880,95968,60412,1550,
1861,96032,60083,1558,
1876,96096,60310,1550,
1857,96160,59779,1554,
1880,96448,60499,1549,
1855,96448,59782,1559,
1883,96224,60513,1546,
1860,96192,60190,1574,
1891,96064,60526,1543,
1862,96032,60276,1573,
1911,96000,61101,1560,
1711,96352,55471,1447,
1720,96320,55358,1423,
1852,96416,59383,1539,
1876,96288,60774,1564,
1890,96352,60737,1568,
1884,96384,60607,1565,
1877,96384,60501,1560,
1871,96416,60371,1555,
1859,96160,59801,1549,
1871,96192,60261,1551,
1866,96256,60094,1554,
1881,96288,60436,1556,
1851,96320,59852,1558,
1886,96320,60492,1552,
1851,96608,59712,1548,
1896,96480,60876,1570,
1856,96384,59833,1550,
1870,96064,60216,1548,
1862,95552,59963,1553,
1891,96064,60904,1571,
1867,96128,60197,1558,
1751,96000,56378,1447,
1707,96160,54800,1431,
1835,96160,59291,1522,
1886,96160,60424,1570,
1872,96128,60483,1541,
1866,96192,59930,1570,
1878,96000,60662,1545,
1855,95872,59681,1565,
1880,96128,60548,1537,
1860,96096,59763,1572,
1485,77211,48563,1235,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
